"id","value","relationship","x","y"
"A005930",0.969059103954299,"A005930->A021240",-2.52551908836606,0.875646528273759
"A005930",0.960753573391968,"A005930->A001040",-2.52551908836606,0.875646528273759
"A005380",0.839969616095586,"A005380->A000270",-2.52551908836606,0.875646528273759
"A005380",0.913793920336257,"A005380->A002380",-2.52551908836606,0.875646528273759
"A000660",0.9464534969865,"A000660->A030200",-2.52551908836606,0.875646528273759
"A000660",0.936407792466326,"A000660->A032640",13.8608936378307,-7.21085704253901
"A015760",0.948736218943063,"A015760->A000270",13.8608936378307,-7.21085704253901
"A015760",1.07528536057363,"A015760->A002790",19.931015953551,-3.87601357973861
"A035420",0.997582451353561,"A035420->A018260",19.931015953551,-3.87601357973861
"A035420",0.993131704890659,"A035420->A004020",19.931015953551,-3.87601357973861
"A035420",0.923319216535209,"A035420->A018880",-28.4675014367952,5.48527328198005
"A012330",0.9514210719508,"A012330->A030200",-23.0971564840147,5.35266459185293
"A012330",0.960897831304889,"A012330->A035250",-23.0971564840147,5.35266459185293
"A005490",0.974871307071652,"A005490->A000810",0.871789587649762,2.80563744225373
"A032830",1.06453186082805,"A032830->A006400",-4.12933695585481,-1.39518159346349
"A017670",1.02643841539112,"A017670->A030200",-6.05584953902656,2.68297713020047
"A000270",0.982788941481158,"A000270->A003550",-6.05584953902656,2.68297713020047
"A000270",0.783937113355054,"A000270->A004020",0.255748713776555,-2.58135537953683
"A000270",0.719385520294737,"A000270->A011210",0.255748713776555,-2.58135537953683
"A055550",0.601268271293702,"A055550->A105560",-0.571544000929441,1.88941216302126
"A055550",0.530865823215273,"A055550->A086790",-0.571544000929441,1.88941216302126
"A055550",0.93133839835401,"A055550->A021240",21.441668904959,-4.41168589934102
"A018260",0.719693410284727,"A018260->A028260",-27.3018901197828,4.47559930142965
"A018260",0.987677649164236,"A018260->A051900",-27.3018901197828,4.47559930142965
"A090430",1.00034709423104,"A090430->A097950",-37.2779433591162,0.396999352000203
"A105560",0.995172250462443,"A105560->A024110",-37.2779433591162,0.396999352000203
"A000810",0.843935413181041,"A000810->A035250",-37.2779433591162,0.396999352000203
"A000810",1.00244877670872,"A000810->A161390",-22.2520083599027,3.96283750638743
"A034220",0.99445898280208,"A034220->A001800",-22.2520083599027,3.96283750638743
"A051910",0.876662575241641,"A051910->A003550",-22.2520083599027,3.96283750638743
"A051910",0.744097664678743,"A051910->A096770",3.05866979981625,-13.9844208185359
"A051910",1.00019609377167,"A051910->A139480",3.05866979981625,-13.9844208185359
"A051910",0.653998856374552,"A051910->A011170",-11.2051928875851,7.77415538882487
"A034730",1.20900361877039,"A034730->A009540",-18.4734751096852,4.22473414987409
"A033780",1.01590375744195,"A033780->A006400",-18.4734751096852,4.22473414987409
"A066570",0.891900182510404,"A066570->A139480",-14.3777597338098,4.61659071574373
"A051900",0.98431057871975,"A051900->A086280",-14.3777597338098,4.61659071574373
"A051900",1.05113024962005,"A051900->A009540",-14.3777597338098,4.61659071574373
"A035720",0.839786184037931,"A035720->A030200",-1.85234807256927,3.29653932448893
"A035720",0.82065370133425,"A035720->A018880",-1.85234807256927,3.29653932448893
"A010130",1.05539485332448,"A010130->A096770",15.1400829523594,-4.87743151622142
"A023530",1.00019957238287,"A023530->A011210",15.1400829523594,-4.87743151622142
"A006400",1.01492750742147,"A006400->A024110",-3.37199725510688,-0.360625494026194
"A088350",1.19094418003546,"A088350->A018880",-3.37199725510688,-0.360625494026194
"A021240",0.919772706206282,"A021240->A009150",13.0841985971426,-4.48197302129401
"A010950",0.760945399789138,"A010950->A011170",2.39219416913154,-8.8301967086893
"A010950",0.871166676867609,"A010950->A009150",2.39219416913154,-8.8301967086893
